"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","F1"
0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,433.976265768967
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,602.206604275566
0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,590.699498000259
0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,539.464930653483
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,374.929336594893
1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,566.053559433206
1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,603.462174773766
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,363.8105966121
0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,564.596153416046
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,380.576013976133
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,398.2148955751
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,351.461586881642
1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,536.147715917165
1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,515.449578363217
0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,492.40552119744
1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,490.628130150566
1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,539.595104512754
1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,487.361420512493
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,634.129792287861
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,387.337420741802
0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,596.515506802459
0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,521.096306056615
0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,490.224212156033
0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,462.697665225952
0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,516.888734618116
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,397.5387896063
0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,467.867629120492
1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,537.471354839572
0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,476.656262230468
0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,415.490611360758
