CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
37,LC,98173,E,"14,0",0,,"3,38388","0,88861","0,0718",Amarela,496,,"0,0",2018,"597,588300704956","611,3259792327881","667,4306392669678"
38,LC,23160,B,"27,0",0,,"3,59943","0,47773","0,26393",Amarela,496,,"0,0",2018,"549,3752956390381","563,8854503631592","617,8014278411865"
38,LC,112076,B,"17,0",0,,"0,95139","4,35476","0,25846",Amarela,456,,"0,0",2018,"942,4107074737549","997,063398361206","1200,8802890777588"
39,LC,86243,E,"11,0",0,,"1,77127","1,14676","0,17002",Amarela,496,,"0,0",2018,"625,1637935638428","652,7798175811768","761,0218524932861"
39,LC,96758,A,"17,0",0,,"1,29262","1,31726","0,14007",Amarela,456,,"0,0",2018,"648,853063583374","686,0535144805908","833,8944911956787"
40,LC,30102,E,"9,0",0,,"1,4895","0,28139","0,21417",Amarela,496,,"0,0",2018,"536,8010997772217","570,5826282501221","699,9819278717041"
40,LC,83517,C,"18,0",0,,"1,37901","1,32756","0,07485",Amarela,456,,"0,0",2018,"653,9433002471924","687,7009868621826","825,4139423370361"
41,LC,86700,B,"9,0",0,,"2,39033","-0,43369","0,18399",Amarela,496,,"0,0",2018,"463,67573738098145","484,3156337738037","564,6531581878662"
41,LC,89331,D,"24,0",0,,"0,97846","0,67628","0,01231",Amarela,456,,"0,0",2018,"603,6942005157471","650,0380039215088","843,1284427642822"
42,LC,31871,C,"11,0",0,,"2,83957","1,02251","0,1042",Amarela,496,,"0,0",2018,"611,4547252655029","628,0772686004639","695,1372623443604"
42,LC,111829,C,"24,0",0,,"2,81419","0,69753","0,11358",Amarela,456,,"0,0",2018,"578,6769390106201","595,5283641815186","663,2559299468994"
43,LC,89563,C,"16,0",0,,"2,03114","1,13829","0,14529",Amarela,496,,"0,0",2018,"624,42946434021","648,1735706329346","742,3107624053955"
43,LC,111931,E,"25,0",0,,"1,63036","0,93887","0,07536",Amarela,456,,"0,0",2018,"611,77659034729","640,3343677520752","756,8233013153076"
44,LC,54762,B,"15,0",0,,"2,32736","-0,17646","0,16574",Amarela,496,,"0,0",2018,"490,55981636047363","511,523962020874","593,8642024993896"
44,LC,97995,C,"26,0",0,,"2,35786","1,11397","0,23434",Amarela,456,,"0,0",2018,"615,6866550445557","637,3350620269775","719,2962169647217"
