CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
29,CN,81339,E,"17,0",0,,"2,23639","1,65616","0,24685",CINZA,PROVA CINZA,,"0,0",2017,"662,3404026031494","692,3739910125732","778,9366245269775","62,34",Cluster 0
30,CN,25979,E,"26,0",0,,"3,50012","1,78389","0,05619",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"683,5501194000244","700,4635334014893","754,6322345733643","52,81",Cluster 0
30,CN,81944,B,"11,0",0,,"4,3139","0,81902","0,15681",CINZA,PROVA CINZA,,"0,0",2017,"583,2998752593994","597,8314876556396","642,2083377838135","57,84",Cluster 2
31,CN,39468,E,"11,0",0,,"2,64723","0,45466","0,18303",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"546,3902950286865","570,4967975616455","643,0308818817139","59,15",Cluster 2
31,CN,43722,D,"8,0",0,,"4,50872","1,66775","0,12154",CINZA,PROVA CINZA,,"0,0",2017,"669,1114902496338","682,7108860015869","725,0158786773682","56,08",Cluster 0
32,CN,49778,B,"8,0",0,,"1,70982","1,04858","0,1943",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"605,3440570831299","642,9784297943115","755,4285526275635","59,72",Cluster 0
32,CN,89981,A,"9,0",0,,"1,48688","1,61043","0,26684",CINZA,PROVA CINZA,,"0,0",2017,"653,8097858428955","699,8341083526611","830,4088115692139","63,34",Cluster 0
33,CN,18168,D,"20,0",0,,"1,14588","1,3463","0,32872",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"614,6948337554932","678,6315441131592","849,804162979126","66,44",Cluster 0
33,CN,62247,C,"19,0",0,,"1,90393","1,8785","0,27172",CINZA,PROVA CINZA,,"0,0",2017,"681,7452907562256","717,8585529327393","819,90647315979","63,59",Cluster 0
34,CN,76032,B,"23,0",0,,"2,03532","1,01157","0,21543",CINZA,PROVA CINZA,,"0,0",2017,"600,020170211792","632,1566104888916","726,8707752227783","60,77",Cluster 2
34,CN,82202,C,"4,0",0,,"2,70418","1,11146","0,14919",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"613,74831199646","636,8129253387451","707,5493335723877","57,46",Cluster 0
35,CN,32923,D,"18,0",0,,"3,65204","1,66277","0,25335",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"663,9711856842041","682,4724674224854","735,5301380157471","62,67",Cluster 0
35,CN,81968,E,"22,0",0,,"0,85925","0,12588","0,04274",CINZA,PROVA CINZA,,"0,0",2017,"535,2871417999268","603,7347316741943","824,1455554962158","52,14",Cluster 2
36,CN,16902,D,"17,0",0,,"2,28624","1,06386","0,16702",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"608,4244251251221","636,028528213501","719,8612689971924","58,35",Cluster 0
36,CN,56286,D,"27,0",0,,"2,88725","2,23369","0,10286",CINZA,PROVA CINZA,,"0,0",2017,"727,7982234954834","748,8076686859131","814,7518634796143","55,14",Cluster 3
37,CN,75966,D,"22,0",0,,"3,96687","-0,5152","0,14304",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"450,4530429840088","466,1147594451904","514,3063068389893","57,15",Cluster 2
37,CN,84291,D,"17,0",0,,"1,6712","2,46941","0,13636",CINZA,PROVA CINZA,,"0,0",2017,"752,1383762359619","789,1576290130615","903,4650325775146","56,82",Cluster 3
38,CN,40150,B,"3,0",0,,"2,52396","1,35265","0,14168",CINZA,PROVA CINZA,,"0,0",2017,"638,4365558624268","663,031816482544","738,7607097625732","57,08",Cluster 0
38,CN,55753,C,"1,0",0,,"3,58463","-0,6059","0,18169",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"440,1438236236572","457,9322338104248","511,4881992340088","59,08",Cluster 2
39,CN,8568,A,"28,0",0,,"2,48746","-0,09785","0,19043",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"490,774393081665","516,5688991546631","593,8284397125244","59,52",Cluster 2
39,CN,47418,C,"16,0",0,,"0,89534","2,03182","0,0696",CINZA,PROVA CINZA,,"0,0",2017,"721,7209339141846","788,2802486419678","1000,2915859222412","53,48",Cluster 3
40,CN,49333,C,"27,0",0,,"2,87849","0,07926","0,1558",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"510,0672245025635","531,8300724029541","598,3297824859619","57,79",Cluster 2
40,CN,83923,B,"2,0",0,,"1,47709","0,91191","0,34312",CINZA,PROVA CINZA,,"0,0",2017,"573,5557079315186","624,0885257720947","757,2405338287354","67,16",Cluster 2
41,CN,18373,B,"20,0",0,,"0,76288","0,24247","0,21882",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"520,531415939331","606,5003871917725","859,3027591705322","60,94",Cluster 2
41,CN,42006,B,"30,0",0,,"2,12666","0,69737","0,13978",CINZA,PROVA CINZA,,"0,0",2017,"573,615312576294","602,769136428833","692,6290988922119","56,99",Cluster 2
42,CN,37732,D,"16,0",0,,"2,66587","0,38498","0,17627",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"539,7694110870361","563,5945796966553","635,5636119842529","58,81",Cluster 2
42,CN,60582,E,"25,0",0,,"1,45789","2,60783","0,11336",CINZA,PROVA CINZA,,"0,0",2017,"768,6941623687744","810,5533123016357","941,2829875946044","55,67",Cluster 3
43,CN,11590,B,"24,0",0,,"2,56093","1,66137","0,12886",CINZA,PROVA CINZA,,"0,0",2017,"669,8958873748779","693,9451694488525","768,481969833374","56,44",Cluster 0
43,CN,15945,B,"14,0",0,,"3,33562","1,36703","0,16365",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"638,2362842559814","657,1142673492432","714,5516872406006","58,18",Cluster 0
44,CN,23921,A,"7,0",0,,"1,96096","0,49314","0,02466",CINZA,PROVA CINZA,,"0,0",2017,"560,2185726165771","589,958906173706","686,3992214202881","51,23",Cluster 2
44,CN,45153,E,"19,0",0,,"4,47081","0,65969","0,15893",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"567,2543048858643","581,2947750091553","624,126672744751","57,95",Cluster 2
45,CN,48651,A,"7,0",0,,"2,34718","1,00391","0,22499",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"598,7732410430908","626,8565654754639","709,0895175933838","61,25",Cluster 2
45,CN,66897,A,"15,0",0,,"3,34472","1,92451","0,17733",CINZA,PROVA CINZA,,"0,0",2017,"693,4206485748291","712,4249935150146","769,7932720184326","58,87",Cluster 0
91,CN,7772,E,"8,0",0,,"1,9055","0,29738","0,14003",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"534,0497493743896","566,5938854217529","666,8822765350342","57,0",Cluster 2
91,CN,27417,E,"22,0",0,,"1,67211","1,96584","0,24188",Cinza,PROVA CINZA,,"0,0",2018,"692,6934719085693","732,6858043670654","848,3808040618896","62,09",Cluster 0
92,CN,24091,D,"7,0",0,,"1,9796","2,48375","0,13945",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"752,5627613067627","783,8766574859619","880,4075717926025","56,97",Cluster 3
92,CN,40203,B,"24,0",0,,"2,40632","1,8928","0,12094",Cinza,PROVA CINZA,,"0,0",2018,"693,6900615692139","719,1627025604248","798,4249591827393","56,05",Cluster 0
93,CN,17449,B,"20,0",0,,"8,00279","2,09568","0,33632",Cinza,PROVA CINZA,,"0,0",2018,"706,5050601959229","715,7485485076904","740,2937412261963","66,82",Cluster 3
93,CN,84260,C,"27,0",0,,"4,43358","0,37694","0,16217",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"538,8920307159424","553,0803203582764","596,2865352630615","58,11",Cluster 2
94,CN,7502,A,"5,0",0,,"2,7734","2,43559","0,1363",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"746,6928958892822","769,0017223358154","837,8784656524658","56,82",Cluster 3
94,CN,97446,E,"13,0",0,,"1,869","0,91258","0,12516",Cinza,PROVA CINZA,,"0,0",2018,"596,656084060669","629,5340061187744","731,6272258758545","56,26",Cluster 2
95,CN,84403,D,"12,0",0,,"3,50929","0,40594","0,22257",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"539,6215915679932","558,366060256958","613,3501529693604","61,13",Cluster 2
95,CN,111564,B,"3,0",0,,"1,5965","1,16868","0,11844",Cinza,PROVA CINZA,,"0,0",2018,"623,7046718597412","662,0423793792725","781,4829349517822","55,92",Cluster 0
96,CN,29853,B,"18,0",0,,"3,59588","2,11638","0,14861",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"713,6147022247314","730,9548854827881","784,1460704803467","57,43",Cluster 3
96,CN,46621,A,"24,0",0,,"2,89268","0,97872","0,15829",Cinza,PROVA CINZA,,"0,0",2018,"599,8890399932861","621,5803623199463","687,7725124359131","57,91",Cluster 2
97,CN,85700,C,"16,0",0,,"1,8199","1,42382","0,13254",Cinza,PROVA CINZA,,"0,0",2018,"647,4201679229736","681,3352108001709","786,2608432769775","56,63",Cluster 0
97,CN,95908,B,"29,0",0,,"1,90262","1,03619","0,21169",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"602,7023792266846","636,9774341583252","738,2481098175049","60,58",Cluster 2
98,CN,83440,E,"20,0",0,,"2,3472","1,81929","0,05895",Cinza,PROVA CINZA,,"0,0",2018,"689,4986629486084","714,7519588470459","795,5496311187744","52,95",Cluster 0
98,CN,98136,C,"25,0",0,,"1,9166","1,05736","0,32247",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"594,5174694061279","632,4474811553955","734,6718311309814","66,12",Cluster 2
99,CN,62289,D,"9,0",0,,"1,51059","1,777","0,06851",Cinza,PROVA CINZA,,"0,0",2018,"688,7667179107666","728,196382522583","853,8453578948975","53,43",Cluster 0
99,CN,97856,C,"4,0",0,,"2,44969","-0,52357","0,17997",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"448,81510734558105","474,8122692108154","553,1661510467529","59,0",Cluster 2
100,CN,25425,A,"22,0",0,,"2,47403","3,13716","0,11973",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"818,063497543335","842,8232669830322","919,9063777923584","55,99",Cluster 3
100,CN,39342,D,"21,0",0,,"2,07227","1,12818","0,2408",Cinza,PROVA CINZA,,"0,0",2018,"609,7643375396729","642,0032978057861","735,3441715240479","62,04",Cluster 0
101,CN,12210,C,"18,0",0,,"1,44775","0,19193","0,21385",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"517,7609920501709","562,8817081451416","696,0098743438721","60,69",Cluster 2
101,CN,111635,E,"14,0",0,,"1,8637","1,5452","0,17661",Cinza,PROVA CINZA,,"0,0",2018,"656,3131809234619","690,4022693634033","793,353796005249","58,83",Cluster 0
102,CN,8041,B,"23,0",0,,"3,04011","2,6829","0,1075",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"772,3157405853271","792,3214435577393","854,9778461456299","55,38",Cluster 3
102,CN,111630,D,"19,0",0,,"1,44722","1,54204","0,09725",Cinza,PROVA CINZA,,"0,0",2018,"663,496732711792","705,2819728851318","836,7745876312256","54,86",Cluster 0
103,CN,62499,D,"17,0",0,,"3,20508","1,25772","0,17322",Cinza,PROVA CINZA,,"0,0",2018,"626,9614696502686","646,7359066009521","706,5765857696533","58,66",Cluster 0
103,CN,86038,C,"6,0",0,,"2,39555","1,09776","0,23861",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"607,2824001312256","635,120153427124","715,839147567749","61,93",Cluster 0
104,CN,40798,D,"26,0",0,,"4,1569","0,95416","0,12654",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"597,8028774261475","612,5967502593994","658,5066318511963","56,33",Cluster 2
104,CN,88496,C,"11,0",0,,"1,17373","2,03465","0,14095",Cinza,PROVA CINZA,,"0,0",2018,"710,3650569915771","763,2272243499756","926,0599613189696","57,05",Cluster 3
105,CN,12591,B,"28,0",0,,"4,53397","1,35731","0,08292",Cinza,PROVA CINZA,,"0,0",2018,"639,0612125396729","652,2982120513916","694,2121982574463","54,15",Cluster 0
105,CN,50091,A,"30,0",0,,"3,40786","1,18914","0,12648",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"621,8259334564209","639,8718357086182","695,8715915679932","56,32",Cluster 0
106,CN,12112,B,"13,0",0,,"2,65104","0,94064","0,21711",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"593,0941104888916","617,7990436553955","690,5310153961182","60,86",Cluster 2
106,CN,67958,C,"19,0",0,,"3,9208","1,41415","0,11735",Cinza,PROVA CINZA,,"0,0",2018,"644,2325115203857","659,834623336792","708,4624767303467","55,87",Cluster 0
107,CN,82306,C,"1,0",0,,"4,08723","1,42925","0,18667",Cinza,PROVA CINZA,,"0,0",2018,"643,3956623077393","659,0526103973389","706,0520648956299","59,33",Cluster 0
107,CN,88032,A,"23,0",0,,"3,63295","1,38608","0,18621",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"639,1565799713135","656,7637920379639","709,6378803253174","59,31",Cluster 0
108,CN,60359,A,"18,0",0,,"1,37076","2,55861","0,08688",Cinza,PROVA CINZA,,"0,0",2018,"766,5483951568604","810,4174137115479","949,1102695465088","54,34",Cluster 3
108,CN,66832,D,"8,0",0,,"2,48355","0,91233","0,28104",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"585,8700275421143","613,8174533843994","692,1617984771729","64,05",Cluster 2
109,CN,97538,E,"2,0",0,,"2,42194","1,36482","0,17713",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"637,8333568572998","664,0737056732178","743,300199508667","58,86",Cluster 0
109,CN,111394,C,"26,0",0,,"2,58095","2,06279","0,24535",Cinza,PROVA CINZA,,"0,0",2018,"703,5367488861084","729,5267581939697","804,5165538787842","62,27",Cluster 3
