CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
14;MT;76401;B;5;Matemática Amarela REGULAR;0;;1.99271;2.94797;0.13791;Amarela;0;2019;1;0;N/A;794.8081493377686;854.8705577850342;1017.8654193878174;56.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/76401.png
15;CH;35734;A;15;Humanas Azul REGULAR;0;;0.50105;0.54058;0.2112;Azul;0;2019;1;0;N/A;554.0578365325928;769.5596218109131;1423.2676029205322;60.56;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35734.png
15;CN;80877;C;15;Natureza Rosa REGULAR;0;;1.66012;0.42213;0.01051;Rosa;0;2019;1;0;N/A;542.2251224517822;624.9229907989502;818.3639049530029;50.53;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/80877.png
15;LC;71682;A;16;Linguagens Branca REGULAR;0;;1.31799;1.54399;0.26491;Branca;0;2019;1;0;N/A;654.4177532196045;729.0666103363037;979.4180393218994;63.25;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/71682.png
15;MT;91436;D;15;Matemática Amarela REGULAR;0;;0.47434;1.70881;0.14975;Amarela;0;2019;1;0;N/A;670.9067821502686;919.4462299346924;1605.0450801849365;57.49;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/91436.png
16;CH;56504;A;16;Humanas Azul REGULAR;0;;1.08659;0.95152;0.17227;Azul;0;2019;1;0;N/A;595.137357711792;700.415849685669;1000.4513263702393;58.61;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56504.png
16;CN;92424;C;16;Natureza Rosa REGULAR;0;;0.99848;1.42055;0.30267;Rosa;0;2019;1;0;N/A;642.0342922210693;733.2866191864014;1065.720796585083;65.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92424.png
16;LC;71596;A;16;Linguagens Branca REGULAR;0;;0.72255;0.69253;0.00302;Branca;0;2019;1;0;N/A;569.2474842071533;760.5903148651123;1204.7879695892334;50.15;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/71596.png
16;MT;92591;B;29;Matemática Amarela REGULAR;0;;0.73742;3.07287;0.13329;Amarela;0;2019;1;0;N/A;807.2583675384521;970.5631732940674;1410.8126163482666;56.66;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92591.png
17;CH;80512;D;2;Humanas Azul REGULAR;0;;2.04748;2.46798;0.18126;Azul;0;2019;1;0;N/A;746.7906475067139;801.9559383392334;961.348295211792;59.06;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/80512.png
