CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;TP_LINGUA;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
44;MT;57821;A;H22;Matemática Amarela REGULAR;0;;1.01761;2.37667;0.06456;Amarela;;0;2020;1;0;N/A;737.6759052276611;865.6280040740967;1182.600736618042;53.23;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57821.png
5;CN;58617;B;H5;Natureza Rosa REGULAR;0;;3.5783;2.91366;0.19906;Rosa;;0;2020;1;0;N/A;791.363000869751;822.1118450164795;913.5096073150635;59.95;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58617.png
6;CN;58670;D;H6;Natureza Rosa REGULAR;0;;0.98747;0.10444;0.06045;Rosa;;0;2020;1;0;N/A;510.4343891143799;642.8759098052979;969.4068431854248;53.02;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58670.png
16;CN;58711;B;H16;Natureza Rosa REGULAR;0;;8.05917;2.76127;0.12194;Rosa;;0;2020;1;0;N/A;776.1280536651611;791.2771701812744;831.5126895904541;56.1;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58711.png
16;LC;58787;D;H3;Linguagens Branco REGULAR;0;;0.95946;0.36697;0.00961;Branco;;0;2020;1;0;N/A;536.693811416626;679.9237728118896;1014.60862159729;50.48;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/58787.png
21;CN;59081;A;H21;Natureza Rosa REGULAR;0;;6.13989;2.31717;0.34206;Rosa;;0;2020;1;0;N/A;731.713056564331;745.2099323272705;799.6528148651123;67.1;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/59081.png
8;CN;59113;D;H24;Natureza Rosa REGULAR;0;;1.30552;1.89007;0.13235;Rosa;;0;2020;1;0;N/A;689.0146732330322;781.3422679901123;1029.9913883209229;56.62;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/59113.png
48;CH;73954;B;H18;Humanas Azul REGULAR;0;;1.74924;1.92227;0.07703;Azul;;0;2020;1;0;N/A;692.2237873077393;765.6900882720947;950.2880573272705;53.85;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/73954.png
45;CH;73957;A;H15;Humanas Azul REGULAR;0;;1.0896;1.0356;0.27697;Azul;;0;2020;1;0;N/A;603.5678386688232;691.7874813079834;995.1655864715576;63.85;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/73957.png
49;CH;74783;B;H19;Humanas Azul REGULAR;0;;0.82609;0.38206;0.15916;Azul;;0;2020;1;0;N/A;538.217306137085;679.1656017303467;1073.2381343841553;57.96;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/74783.png
55;CH;75108;A;H25;Humanas Azul REGULAR;0;;2.19775;0.73579;0.259;Azul;;0;2020;1;0;N/A;573.5795497894287;618.8576221466064;768.8610553741455;62.95;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75108.png
26;LC;75554;C;H22;Linguagens Branco REGULAR;0;;1.04806;0.16803;0.19092;Branco;;0;2020;1;0;N/A;516.8216228485107;623.058557510376;934.802770614624;59.55;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/75554.png
5;LC;76547;A;H6;Linguagens Branco REGULAR;0;;4.57837;2.30731;0.19338;Branco;0.0;0;2020;1;0;N/A;730.7331562042236;754.9660205841064;826.3509273529053;59.67;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/76547.png
51;MT;76989;B;H10;Matemática Amarela REGULAR;0;;0.51463;1.49974;0.25363;Amarela;;0;2020;1;0;N/A;649.9593257904053;845.2551364898682;1485.3589534759521;62.68;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/76989.png
