CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
27,LC,81992,D,"12,0",0,,"3,58061","0,76482","0,09494",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"584,0580463409424","597,1806049346924","650,3169536590576"
27,LC,85698,E,"16,0",0,,"2,85248","1,45677","0,11615",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"654,3843746185303","671,0307598114014","737,8642559051514"
28,LC,32261,E,"24,0",0,,"4,49928","0,23211","0,20659",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"526,3035297393799","537,4305248260498","580,2266597747803"
28,LC,50074,A,"19,0",0,,"2,05995","2,07823","0,24568",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"711,9433879852295","736,9344234466553","830,895185470581"
29,LC,96915,C,"2,0",0,,"1,32994","0,45604","0,21237",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"555,4859638214111","593,2753086090088","738,1670475006104"
29,LC,118260,E,"15,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104"
30,LC,86328,D,"26,0",0,,"2,3444","0,84675","0,21744",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"589,9899005889893","611,5000247955322","693,7496662139893"
30,LC,118134,A,"26,0",0,,"3,34867","1,04002","0,20217",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"608,3314418792725","623,2373714447021","680,7081699371338"
31,LC,77451,B,"18,0",0,,"1,72426","0,41141","0,19842",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"549,8330593109131","578,7103176116943","690,2735233306885"
31,LC,89874,A,"10,0",0,,"2,50294","-0,16837","0,05346",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"495,6953525543213","514,117956161499","589,8516178131104"
32,LC,42875,B,"15,0",0,,"2,13801","1,23586","0,15857",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"632,9243183135986","655,6503772735596","745,2099323272705"
32,LC,86932,A,"14,0",0,,"0,6609","0,48081","0,02482",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"599,712610244751","668,6632633209229","954,8108577728271"
33,LC,24785,D,"28,0",0,,"4,0897","-0,15593","0,18836",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"488,3902072906494","500,4851818084717","547,4655628204346"
33,LC,77601,E,"21,0",0,,"0,94826","0,35004","0,25475",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"542,5469875335693","597,2187519073486","801,598310470581"
34,LC,60118,C,"25,0",0,,"1,96907","0,67402","0,18127",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"576,1282444000244","601,1407375335693","698,6348628997803"
34,LC,118028,D,"29,0",0,,"2,78473","1,21063","0,13942",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"629,0404796600342","646,3019847869873","714,921236038208"
35,LC,38780,B,"4,0",0,,"1,67379","1,04217","0,22283",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"611,2186908721924","641,4620876312256","756,7470073699951"
35,LC,118246,B,"17,0",0,,"0,98835","2,9006","0,22558",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"801,5339374542236","852,853536605835","1048,156499862671"
36,LC,49170,C,"22,0",0,,"2,92675","0,25567","0,17805",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"531,5749645233154","548,3691692352295","613,9366626739502"
36,LC,89317,E,"28,0",0,,"3,23142","-0,1884","0,16189",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"487,2148036956787","502,28047370910645","561,5584850311279"
37,LC,63561,A,"12,0",0,,"4,43539","0,87957","0,1725",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"592,0760631561279","603,1219959259033","646,3592052459717"
37,LC,86496,C,"30,0",0,,"2,30147","0,21937","0,08452",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"534,1999530792236","554,5156002044678","637,103796005249"
38,LC,32254,A,"9,0",0,,"2,22449","-0,04931","0,21063",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"501,0836124420166","523,6475467681885","610,2554798126221"
38,LC,118256,D,"17,0",0,,"1,92141","1,54986","0,12387",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"667,464017868042","692,2762393951416","791,5728092193604"
39,LC,82391,E,"17,0",0,,"2,58466","0,80198","0,13235",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"589,1053676605225","607,6328754425049","681,511640548706"
39,LC,118235,E,"22,0",0,,"1,44895","1,42761","0,14063",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"657,9940319061279","691,1914348602295","823,0917453765869"
40,LC,86434,A,"20,0",0,,"1,90198","0,92717","0,19817",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"600,6162166595459","626,7874240875244","727,9245853424072"
40,LC,118117,C,"10,0",0,,"2,52418","0,19306","0,22915",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"523,6022472381592","543,7486171722412","620,2547550201416"
41,LC,37925,C,"27,0",0,,"6,73355","1,34252","0,15479",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"637,2826099395752","644,4828510284424","672,9094982147217"
41,LC,68624,A,"30,0",0,,"1,7516","-0,24965","0,17322",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"485,41712760925293","513,3955478668213","622,8916645050049"
42,LC,96525,A,"28,0",0,,"3,89027","0,76252","0,11963",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"582,5369358062744","594,7654247283936","643,7866687774658"
42,LC,96909,E,"4,0",0,,"1,95791","-0,06095","0,0568",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"509,75728034973145","533,341646194458","630,1848888397217"
43,LC,83841,D,"30,0",0,,"1,7332","0,41007","0,17919",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"551,0704517364502","579,4494152069092","690,1853084564209"
